,title,comment,author,total_replies,upvotes
0,Guide - Travelling to Maldives during COVID,"Just got back from the Maldives… the online form must be done within 24 hours of flight arrival, not departure. It does state departure, but it expires 24 hours after you submit it, so if you do it 24 before departure, it will be expired by the time you get there. I recommend doing it in the airport whilst you wait to depart, that way it will definitely be valid.",jack172sp,3,2
1,Guide - Travelling to Maldives during COVID,"I was unaware of this declaration form, or that even a yellow fever vaccination is required for entry. Thank you for sharing",ccadgl69,1,1
2,Guide - Travelling to Maldives during COVID,"Thank you, kind stranger. This is definitely helpful!",sefiteni,0,1
3,Guide - Travelling to Maldives during COVID,"If traveling from india, do we need both vaccines?",sazzles59,1,1
4,Guide - Travelling to Maldives during COVID,This should be a sticky post,z80lives,0,1
5,Guide - Travelling to Maldives during COVID,"I am going in December to Maldives and staying at 3 different islands:

* Dhiffushi (big island) (6 days)
* Dhiffushi Resort (small island) (5 days)
* Malé. (2 days)

I am:

* From Denmark
* Fully vaccinated

1 day before flying, I will do a PCR test.

According to these rules [here](https://covid19.health.gov.mv/covid-19-vaccination-coverage-criteria-for-permitting-tourist-arrivals/?c=0):

* PCR test 4 days prior arrival in Maldives
* PCR test 3 days before check-out of each guesthouse

So according to the above rules, then I need to do 3 PCR tests in total:

* 1 in Denmark
* 1 before check-out of the first hotel
* 1 before check-out of the second hotel

So for the few first days in the big [Dhiffushi island](https://www.google.dk/maps/place/Dhiffushi/@4.4419622,73.7114756,17z/data=!3m1!4b1!4m5!3m4!1s0x3b3f916d9c4395c5:0x89b05894a4ae0485!8m2!3d4.4401762!4d73.7132147) (first hotel), I'm covered by the PCR test from Denmark.
Before going to the second hotel I need to do another PCR test, but I can't find any information on where to do the PCR test on [Dhiffushi](https://www.google.dk/maps/place/Dhiffushi/@4.4419622,73.7114756,17z/data=!3m1!4b1!4m5!3m4!1s0x3b3f916d9c4395c5:0x89b05894a4ae0485!8m2!3d4.4401762!4d73.7132147).
Then at the resort I need to do the third PCR test before going to the last hotel in Malé before flying home.

Is this correct?
Does anyone know this, I would really appreciate the help!",TheBurningDude123,17,1
6,Guide - Travelling to Maldives during COVID,Does anyone know if Maldives going to go back to allowing tourists in without doing a PCR as long as they are double vaccinated?,,0,1
7,Guide - Travelling to Maldives during COVID,How much it cost to take PCR test in Maldives?,banna2,1,1
8,Guide - Travelling to Maldives during COVID,Do I need to print my PCR result out or do they accept electronic versions on mobiles?,treefrog3103,0,1
9,Guide - Travelling to Maldives during COVID,What form? Thank you for posting!,hhuman4life,1,1
10,Guide - Travelling to Maldives during COVID,Is this a hard rule? I fly out tomorrow in less than 24 hours  but have a connecting flight which means i will arrive more than 24 hours from now. So do I need to wait until tomorrow to fill the forms? It will be tricky without access to my laptop as 3 documents need to be uploaded.  Is the form mobile friendly?,evilrobotyoshimi,0,1
11,Guide - Travelling to Maldives during COVID,Yellow fever vaccination is only required if you have been to a yellow fever endemic country (mostly in Africa and South America) in the last 6 days,ogiakul,0,2
12,Guide - Travelling to Maldives during COVID,Vaccination not mandatory for tourists going to resort islands.,Zaheer_Sabiha,0,1
13,Guide - Travelling to Maldives during COVID,"Some resorts/hotels offer PCR testing. So maybe ask if the resort offers this? 

As you are fully vaccinated, I don't think you will need the other PCR tests, only the one on entry. But maybe better to be sure and ask here https://tourism.gov.mv/en/ministry/contact",ogiakul,14,1
